PM10,SO2,NO2,CO,O3,TEMP,RAIN,WSPM,year,month,day,hour,dayofweek
496.0,8.0,121.0,6100.0,4.0,-4.7,0,1.0,2017,1,1,0,6
497.0,7.0,113.0,6300.0,4.0,-5.2,0,0.7,2017,1,1,1,6
469.0,7.0,111.0,6200.0,4.0,-5.4,0,1.1,2017,1,1,2,6
425.0,6.0,109.0,5900.0,3.0,-5.2,0,1.1,2017,1,1,3,6
468.0,10.0,123.0,7700.0,16.0,-5.0,0,1.0,2017,1,1,4,6
462.0,10.0,107.0,7600.0,4.0,-4.6,0,0.8,2017,1,1,5,6
481.0,9.0,104.0,7200.0,3.0,-4.5,0,1.2,2017,1,1,6,6
462.0,7.0,108.0,6700.0,3.0,-4.7,0,1.0,2017,1,1,7,6
468.0,7.0,118.0,6800.0,3.0,-4.8,0,0.9,2017,1,1,8,6
434.0,7.0,125.0,6400.0,3.0,-4.8,0,1.0,2017,1,1,9,6
415.0,7.0,135.0,6100.0,16.0,-4.1,0,0.9,2017,1,1,10,6
425.0,8.0,141.0,5500.0,5.0,-1.9,0,0.9,2017,1,1,11,6
381.0,11.0,151.0,5100.0,7.0,0.7,0,0.9,2017,1,1,12,6
471.0,14.0,188.0,6400.0,7.0,1.1,0,1.3,2017,1,1,13,6
542.0,14.0,217.0,7600.0,7.0,1.3,0,1.5,2017,1,1,14,6
572.0,12.0,215.0,7400.0,5.0,0.7,0,1.7,2017,1,1,15,6
578.0,10.0,212.0,7400.0,7.0,-0.2,0,2.1,2017,1,1,16,6
543.0,9.0,197.0,7300.0,2.0,-1.0,0,1.1,2017,1,1,17,6
527.0,8.0,193.0,7400.0,2.0,-1.3,0,1.0,2017,1,1,18,6
498.0,8.0,182.0,7200.0,2.0,-1.3,0,1.1,2017,1,1,19,6
489.0,8.0,177.0,7300.0,3.0,-2.6,0,1.5,2017,1,1,20,6
491.0,8.0,168.0,7400.0,3.0,-3.4,0,0.8,2017,1,1,21,6
467.0,9.0,156.0,7200.0,3.0,-3.8,0,0.6,2017,1,1,22,6
443.0,8.0,143.0,6800.0,2.0,-4.8,0,1.1,2017,1,1,23,6
467.0,8.0,141.0,6900.0,3.0,-4.8,0,1.4,2017,1,2,0,0
484.0,9.0,139.0,7400.0,3.0,-5.8,0,0.7,2017,1,2,1,0
520.0,9.0,157.0,7600.0,4.0,-6.1,0,0.6,2017,1,2,2,0
429.0,9.0,141.0,6500.0,3.0,-5.0,0,0.3,2017,1,2,3,0
211.0,11.0,110.0,3300.0,7.0,-6.1,0,0.2,2017,1,2,4,0
116.0,13.0,87.0,2200.0,4.0,-3.8,0,1.4,2017,1,2,5,0
51.0,14.0,58.0,1300.0,26.0,-3.1,0,0.5,2017,1,2,6,0
38.0,14.0,55.0,1100.0,28.0,-3.5,0,0.5,2017,1,2,7,0
21.0,16.0,40.0,700.0,42.0,-3.4,0,1.7,2017,1,2,8,0
16.0,18.0,40.0,800.0,44.0,3.2,0,1.7,2017,1,2,9,0
23.0,17.0,42.0,700.0,45.0,5.6,0,1.3,2017,1,2,10,0
18.0,14.0,30.0,600.0,59.0,6.9,0,2.8,2017,1,2,11,0
247.0,12.0,76.0,2400.0,46.0,4.9,0,2.8,2017,1,2,12,0
176.0,17.0,99.0,3000.0,42.0,6.7,0,2.3,2017,1,2,13,0
211.0,14.0,86.0,2600.0,58.0,8.2,0,1.7,2017,1,2,14,0
267.0,19.0,125.0,4200.0,53.0,6.3,0,1.9,2017,1,2,15,0
260.0,18.0,115.0,3900.0,56.0,5.3,0,2.2,2017,1,2,16,0
212.0,14.0,112.0,3600.0,50.0,3.6,0,1.9,2017,1,2,17,0
183.0,14.0,111.0,3000.0,33.0,3.5,0,2.0,2017,1,2,18,0
136.0,14.0,89.0,2300.0,41.0,2.9,0,2.3,2017,1,2,19,0
137.0,13.0,89.0,2200.0,35.0,2.9,0,2.1,2017,1,2,20,0
125.0,13.0,90.0,2100.0,28.0,-0.6,0,0.2,2017,1,2,21,0
153.0,14.0,108.0,2500.0,13.0,-1.6,0,0.8,2017,1,2,22,0
165.0,14.0,126.0,3100.0,2.0,-2.3,0,0.7,2017,1,2,23,0
225.0,23.0,148.0,4900.0,4.0,-3.4,0,0.8,2017,1,3,0,1
275.0,28.0,158.0,6400.0,7.0,-3.6,0,0.8,2017,1,3,1,1
293.0,17.0,155.0,6400.0,5.0,-4.5,0,0.9,2017,1,3,2,1
293.0,16.0,153.0,6200.0,5.0,-4.8,0,0.9,2017,1,3,3,1
287.0,15.0,149.0,6300.0,59.0,-5.3,0,0.7,2017,1,3,4,1
305.0,13.0,149.0,6000.0,4.0,-4.9,0,0.5,2017,1,3,5,1
304.0,12.0,148.0,5800.0,3.0,-4.7,0,0.3,2017,1,3,6,1
266.0,12.0,139.0,5700.0,3.0,-4.5,0,0.4,2017,1,3,7,1
240.0,17.0,132.0,5700.0,3.0,-5.4,0,1.1,2017,1,3,8,1
237.0,29.0,131.0,6500.0,4.0,-2.5,0,0.6,2017,1,3,9,1
232.0,32.0,117.0,5400.0,7.0,1.0,0,0.4,2017,1,3,10,1
155.0,27.0,88.0,3100.0,19.0,3.0,0,1.0,2017,1,3,11,1
167.0,31.0,98.0,3200.0,25.0,5.3,0,0.9,2017,1,3,12,1
170.0,28.0,100.0,3000.0,35.0,6.9,0,1.0,2017,1,3,13,1
179.0,27.0,127.0,3400.0,26.0,8.7,0,0.9,2017,1,3,14,1
244.0,28.0,183.0,4700.0,15.0,7.2,0,1.5,2017,1,3,15,1
334.0,26.0,190.0,5100.0,16.0,6.1,0,1.1,2017,1,3,16,1
295.0,27.0,2.0,4600.0,41.0,2.8,0,0.9,2017,1,3,17,1
356.0,3.0,191.0,900.0,3.0,0.7,0,0.7,2017,1,3,18,1
420.0,20.0,199.0,7000.0,3.0,0.5,0,1.2,2017,1,3,19,1
448.0,16.0,199.0,7500.0,2.0,-0.8,0,0.1,2017,1,3,20,1
486.0,13.0,195.0,7700.0,2.0,-1.6,0,0.9,2017,1,3,21,1
483.0,12.0,200.0,8200.0,3.0,-2.1,0,0.9,2017,1,3,22,1
476.0,11.0,196.0,8700.0,3.0,-2.4,0,1.1,2017,1,3,23,1
493.0,10.0,188.0,8900.0,2.0,-2.9,0,0.1,2017,1,4,0,2
502.0,9.0,190.0,8600.0,2.0,-3.5,0,0.8,2017,1,4,1,2
467.0,9.0,179.0,8600.0,35.0,-3.2,0,1.2,2017,1,4,2,2
504.0,11.0,193.0,9600.0,2.0,-4.2,0,0.9,2017,1,4,3,2
539.0,11.0,195.0,9700.0,35.0,-4.3,0,0.7,2017,1,4,4,2
561.0,10.0,180.0,9900.0,3.0,-4.5,0,0.0,2017,1,4,5,2
506.0,12.0,196.0,900.0,4.0,-4.8,0,0.0,2017,1,4,6,2
392.0,12.0,158.0,7500.0,2.0,-4.8,0,1.2,2017,1,4,7,2
338.0,15.0,149.0,7200.0,2.0,-4.5,0,0.4,2017,1,4,8,2
342.0,14.0,156.0,7300.0,3.0,-2.9,0,0.7,2017,1,4,9,2
469.0,18.0,208.0,9200.0,4.0,0.0,0,1.2,2017,1,4,10,2
333.0,27.0,154.0,5600.0,9.0,1.8,0,1.8,2017,1,4,11,2
167.0,30.0,107.0,3400.0,17.0,3.6,0,1.7,2017,1,4,12,2
216.0,31.0,131.0,4000.0,27.0,4.9,0,1.4,2017,1,4,13,2
291.0,31.0,167.0,4900.0,23.0,5.4,0,1.9,2017,1,4,14,2
331.0,37.0,179.0,6100.0,20.0,5.8,0,1.7,2017,1,4,15,2
367.0,43.0,179.0,7100.0,16.0,5.2,0,1.3,2017,1,4,16,2
322.0,40.0,179.0,6800.0,7.0,1.9,0,0.7,2017,1,4,17,2
298.0,29.0,175.0,6600.0,2.0,2.0,0,1.0,2017,1,4,18,2
304.0,26.0,176.0,6800.0,2.0,0.8,0,1.1,2017,1,4,19,2
346.0,18.0,186.0,8000.0,2.0,-0.6,0,1.4,2017,1,4,20,2
356.0,14.0,180.0,8300.0,2.0,-1.0,0,1.6,2017,1,4,21,2
380.0,10.0,164.0,9100.0,2.0,-1.5,0,2.4,2017,1,4,22,2
328.0,8.0,134.0,8400.0,2.0,-1.4,0,1.6,2017,1,4,23,2
203.0,7.0,114.0,7200.0,2.0,-1.0,0,2.8,2017,1,5,0,3
168.0,9.0,112.0,7100.0,2.0,-1.0,0,0.7,2017,1,5,1,3
159.0,5.0,114.0,5700.0,2.0,-0.6,0,1.0,2017,1,5,2,3
168.0,5.0,114.0,4800.0,2.0,0.1,0,0.9,2017,1,5,3,3
175.0,6.0,114.0,4800.0,27.0,0.3,0,1.4,2017,1,5,4,3
360.0,6.0,126.0,7400.0,2.0,0.5,0,2.2,2017,1,5,5,3
401.0,6.0,133.0,8700.0,2.0,0.1,0,1.2,2017,1,5,6,3
324.0,7.0,132.0,8200.0,2.0,0.4,0,1.4,2017,1,5,7,3
275.0,9.0,133.0,7900.0,2.0,0.4,0,1.4,2017,1,5,8,3
271.0,11.0,135.0,7700.0,2.0,0.5,0,1.2,2017,1,5,9,3
276.0,12.0,134.0,7600.0,2.0,1.0,0,1.3,2017,1,5,10,3
267.0,11.0,132.0,7400.0,2.0,1.8,0,0.4,2017,1,5,11,3
249.0,11.0,129.0,7000.0,2.0,2.8,0,0.9,2017,1,5,12,3
239.0,12.0,121.0,6000.0,3.0,3.3,0,1.2,2017,1,5,13,3
223.0,13.0,112.0,5300.0,20.0,3.8,0,1.2,2017,1,5,14,3
206.0,15.0,105.0,4500.0,16.0,3.5,0,1.2,2017,1,5,15,3
162.0,20.0,96.0,3800.0,13.0,3.4,0,0.7,2017,1,5,16,3
184.0,21.0,110.0,4100.0,3.0,3.1,0,0.9,2017,1,5,17,3
183.0,21.0,119.0,4100.0,2.0,1.9,0,0.6,2017,1,5,18,3
199.0,20.0,122.0,4500.0,2.0,2.2,0,1.5,2017,1,5,19,3
219.0,17.0,126.0,5200.0,2.0,0.7,0,1.1,2017,1,5,20,3
199.0,16.0,122.0,4700.0,2.0,-0.4,0,0.7,2017,1,5,21,3
180.0,15.0,116.0,4400.0,2.0,-1.5,0,0.2,2017,1,5,22,3
184.0,12.0,116.0,4900.0,2.0,-2.1,0,0.6,2017,1,5,23,3
184.0,10.0,111.0,5300.0,2.0,-2.3,0,0.2,2017,1,6,0,4
184.0,10.0,111.0,500.0,2.0,-2.9,0,0.2,2017,1,6,1,4
176.0,12.0,103.0,4600.0,2.0,-2.1,0,0.2,2017,1,6,2,4
159.0,14.0,98.0,3800.0,2.0,-1.3,0,0.0,2017,1,6,3,4
158.0,18.0,100.0,3900.0,13.0,-2.7,0,1.2,2017,1,6,4,4
171.0,20.0,101.0,4300.0,2.0,-2.8,0,1.3,2017,1,6,5,4
169.0,20.0,100.0,4500.0,2.0,-2.8,0,0.3,2017,1,6,6,4
177.0,24.0,94.0,4500.0,2.0,-2.1,0,0.0,2017,1,6,7,4
170.0,26.0,94.0,4200.0,2.0,-2.0,0,0.7,2017,1,6,8,4
175.0,30.0,97.0,4900.0,2.0,-0.2,0,1.1,2017,1,6,9,4
211.0,31.0,105.0,5700.0,2.0,1.1,0,0.9,2017,1,6,10,4
216.0,29.0,101.0,4900.0,6.0,2.6,0,1.2,2017,1,6,11,4
193.0,29.0,92.0,400.0,16.0,3.5,0,2.0,2017,1,6,12,4
188.0,31.0,88.0,3800.0,25.0,4.0,0,2.0,2017,1,6,13,4
200.0,33.0,113.0,4100.0,16.0,4.5,0,1.3,2017,1,6,14,4
214.0,31.0,130.0,4300.0,10.0,4.9,0,0.5,2017,1,6,15,4
215.0,27.0,131.0,2700.0,5.0,4.2,0,1.2,2017,1,6,16,4
221.0,21.0,139.0,4200.0,2.0,3.0,0,1.3,2017,1,6,17,4
211.0,17.0,140.0,4300.0,2.0,0.7,0,0.7,2017,1,6,18,4
217.0,17.0,146.0,4400.0,2.0,1.0,0,0.0,2017,1,6,19,4
220.0,22.0,152.0,4200.0,2.0,1.5,0,0.6,2017,1,6,20,4
235.0,24.0,157.0,500.0,2.0,2.6,0,1.1,2017,1,6,21,4
239.0,25.0,153.0,4800.0,2.0,2.0,0,0.7,2017,1,6,22,4
235.0,31.0,126.0,4900.0,2.0,2.4,0,1.2,2017,1,6,23,4
241.0,38.0,123.0,5300.0,2.0,2.0,0,0.8,2017,1,7,0,5
239.0,45.0,120.0,5100.0,2.0,1.4,0,1.3,2017,1,7,1,5
224.0,39.0,116.0,500.0,2.0,1.2,0,0.9,2017,1,7,2,5
208.0,31.0,105.0,4400.0,2.0,0.8,0,1.2,2017,1,7,3,5
206.0,26.0,91.0,3800.0,25.0,0.7,0,0.6,2017,1,7,4,5
200.0,25.0,96.0,3900.0,2.0,1.0,0,0.7,2017,1,7,5,5
181.0,24.0,87.0,3300.0,2.0,0.8,0,0.8,2017,1,7,6,5
173.0,21.0,86.0,3500.0,2.0,0.9,0,0.5,2017,1,7,7,5
